,company_name,average_salary,total_sale
301,오토앤,"4,119만원",501.2억원
302,밀레에델바이스홀딩스,"4,019만원",50.6억원
303,동성모터스,"4,732만원",6605억원
304,오픈갤러리,"3,167만원",41.6억원
305,씨엠에이씨지엠코리아,회사없음,회사없음
306,인터지스,"6,107만원",5432억원
307,동신툴피아,"4,325만원",1779.6억원
308,에어서울,"4,561만원",650.4억원
309,테크데이타,회사없음,회사없음
310,제아에이치앤비,"1,812만원",354억원
311,롯데로지스틱스,"4,752만원",33.1억원
312,한국허벌라이프,"5,932만원",1565.6억원
313,헬스밸런스,"4,245만원",596.9억원
314,농협물류,"5,538만원",4630.2억원
315,사운드캣,"3,241만원",74.4억원
316,에스엠면세점,"3,902만원",1298억원
317,크록스코리아,"5,704만원",1365.2억원
318,대원씨티에스,"4,999만원",7657.9억원
319,돌코리아,"5,341만원",3332.5억원
320,애로우일렉트로닉스,"6,032만원",2911.3억원
321,크리스챤디올꾸뛰르코리아,"5,422만원",6138.6억원
322,한국트럼프지엠비에이취,"5,690만원",1476.8억원
323,윈시스템즈,"4,816만원",451.5억원
324,페르노리카코리아,"6,032만원",1204.8억원
325,한국에이브이엘,"5,867만원",312.8억원
326,호전실업,"5,726만원",3181.1억원
327,진인프라,"4,328만원",1364.5억원
328,제일모직,회사없음,회사없음
329,지에스글로벌,"8,210만",3.5조원
330,고려해운항공,"5,348만원",1307.2억원
331,인터파크큐브릿지,"3,439만원",757.8억원
332,트리,"2,410만원",7843만원
333,제이티인터내셔널코리아,"6,032만원",2004.5억원
334,쿠팡로지스틱스서비스,"4,356만원",129.3억원
335,한국미쓰비시전기오토메이션,"6,032만원",3271.9억원
336,한국후지필름,"5,373만원",598억원
337,기흥모터스,"4,572만원",893억원
338,삼천리자전거,"5,384만원",1122.8억원
339,신코,"5,426만원",229억
340,에스케이엔카,회사없음,회사없음
341,한국로지스풀,"5,195만원",6534.3억원
342,비엠케이리미티드,"3,369만원",110.5억원
343,화승,회사없음,회사없음
344,리노스,회사없음,회사없음
345,에스엠케이티앤아이,"4,156만원",927.6억원
346,비브라운코리아,"6,032만원",1204.5억원
347,에스케이가스,"11,252만원",5조원
348,에이치디솔루션즈,회사없음,회사없음
349,마스타자동차관리,"4,742만원",931억원
350,유센로지스틱스코리아,"5,604만원",619억원
351,캐논코리아컨슈머이미징,"5,932만원",461.2억원
352,한국아스텔라스제약,"6,032만원",2656.8억원
353,한국존슨앤드존슨판매,"5,679만원",1746.4억원
354,디에이치엘서플라이체인코리아,"5,206만원",680.9억원
