,company_name,average_salary,total_sale
657,일진베어링,"6,032만원",2693.2억원
658,최신물산,"5,090만원",1713.7억원
659,블리스팩,"4,318만원",136.7억원
660,슈페리어,"4,661만원",679.8억원
661,에프앤코,회사없음,회사없음
662,테크엘,"4,207만원",419.8억원
663,모토닉,"5,983만원",1960.8억원
664,인켈,"4,140만원",1387.4억원
665,재영솔루텍,"5,202만원",952.1억원
666,태화기업,회사없음,회사없음
667,파카코리아,"5,668만원",2194.6억원
668,시드물,"3,269만원",419.9억원
669,이랜텍,"2,447만원",2773.2억원
670,코다코,"5,873만원",2063.1억원
671,경동원,회사없음,회사없음
672,농업회사법인조인,회사없음,회사없음
673,대동도어,"6,032만원",2509.8억원
674,비츠로시스,"3,138만원",295.1억원
675,삼표,"2,967만원",2456.3억원
676,큐메이트,회사없음,회사없음
677,한솔케미칼,회사없음,회사없음
678,씨제이포디플렉스,"5,428만원",373.4억원
679,케이디파워,"4,149만원",444.8억원
680,파워로직스,"4,838만원",7665.3억원
681,한일전기,회사없음,회사없음
682,텔레칩스,"7,677만원",1364.2억원
683,블랙야크,"4,302만원",3348.2억원
684,삼목에스폼,"5,623만원",2049.1억원
685,유니온커뮤니티,"5,412만원",390.2억원
686,크나우프석고보드,"6,032만원",2310.5억원
687,효성전기,회사없음,회사없음
688,스맥,"5,019만원",1265.7억원
689,오알켐,"5,231만원",641.6억원
690,유진로봇,"5,920만원",276.5억원
691,센서텍,"4,634만원",440.7억원
692,아트라스비엑스,"6,944만원",6.3억원
693,엘시시,"3,436만원",18.8억원
694,우주일렉트로닉스,"5,738만원",2012.5억원
695,SNT모티브,"6,032만원",8995.4억원
696,유니트아이엔씨,"5,071만원",1521억원
697,케이엘에이텐코코리아,"6,032만원",2030.3억원
698,나무가,"8,377만원",3493.4억원
699,메디아나,"4,302만원",565.8억원
700,바이와이제이,"4,144만원",404.1억원
701,선익시스템,"6,260만원",449.3억원
702,싸이맥스,"5,964만원",2235.3억원
703,사조해표,"4,617만원",6256.6억원
704,삼성공조,"4,914만원",694.5억원
705,유아이엘,"5,015만원",496.5억원
706,인테그리스코리아,"5,677만원",2276.3억원
707,프라코,"5,039만원",104.4억원
708,다이나믹디자인,회사없음,회사없음
709,멈스,회사없음,회사없음
710,경창산업,"6,174만원",4945.1억원
711,에스엠알오토모티브모듈코리아,"6,032만원",2843.2억원
712,엘티소재,"5,976만원",2448.4억원
713,뉴옵틱스,"5,477만원",3308.8억원
714,에이팩트,"2,325만원",472.2억원
715,세양물산,"3,528만원",78.9억원
716,소셜빈,회사없음,회사없음
717,신티에스,"5,050만원",1263.6억원
718,롯데에너지머티리얼즈,회사없음,회사없음
719,멜파스,"6,319만원",240억원
720,디에이테크놀로지,"4,516만원",8.4억원
721,삼화,"3,958만원",12.8억원
722,에이치앤이루자,"5,890만원",1714.2억원
723,와이즈산전,"3,979만원",410.3억원
724,인피니언테크놀로지스파워세미텍,"5,469만원",818.7억원
725,조이슨세이프티시스템스코리아,"5,713만원",1504.8억원
726,디아이씨,회사없음,회사없음
727,대한제당,회사없음,회사없음
728,후지테크코리아,"5,166만원",472.3억원
729,체리부로,"4,791만원",3660억원
730,카오리온코스메틱스,"2,734만원",75억원
731,큐아이엠,"4,165만원",114.4억원
732,애경화학,"2,953만원",1956.3억원
733,에이스그룹,회사없음,회사없음
734,코오롱글로텍,"6,647만원",5735.1억원
735,한국전기연구원,"9,474만원",1736.4억원
736,삼익악기,"6,420만원",1515.5억원
737,오이솔루션,"4,200만원",986.8억원
738,피제이전자,"3,650만원",1199억원
739,한국화이바,"5,241만원",1926억원
740,대한제강,"10,596만원",1.1조원
741,정우비나,"5,153만원",999억원
742,화인폰,"3,605만원",73.1억원
743,스와니코코,"4,723만원",79.8억원
744,에스제이듀코,"4,539만원",1222.8억원
745,제이시스메디칼,"4,510만원",465억원
746,제이티,"2,205만원",4.5억원
747,니덱모빌리티코리아,"5,888만원",1550억원
748,에스피피조선,회사없음,회사없음
749,인텍플러스,"6,131만원",1196.6억원
