,company_name,turn_over_rate
401,한국존슨앤드존슨,(75%)
402,지이헬스케어코리아,(22%)
403,한솔제지,(12%)
404,루트로닉,(21%)
405,케이이씨,(24%)
406,뷰웍스,(14%)
407,크루셜텍,(57%)
408,불스원,(14%)
409,티비에이치글로벌,(23%)
410,미래나노텍,(28%)
411,노바렉스,(23%)
412,이래오토모티브시스템,(9%)
413,리한,(233%)
414,BYC,(23%)
415,비알코리아,(67%)
416,코렌스,(30%)
417,유비쿼스홀딩스,(26%)
418,한국하니웰,(14%)
419,세진중공업,(25%)
420,대구텍,(6%)
421,평화정공,(6%)
422,한전원자력연료,(16%)
423,인팩,정보없음.
424,크레신,(24%)
425,그린광학,(24%)
426,동서기공,(61%)
427,쌍방울,(36%)
428,이노와이어리스,(11%)
429,피닉스다트,(64%)
430,에쓰푸드,(128%)
431,현대삼호중공업,(6%)
432,정식품,(40%)
433,하이비젼시스템,(25%)
434,지에스칼텍스,(5%)
435,아이올리,(33%)
436,에쓰오일,(3%)
437,한국몰렉스,(15%)
438,현대에버다임,(17%)
439,현진스포텍,(13%)
440,이미인,(66%)
441,세원이앤씨,(33%)
442,인디에프,(38%)
443,뉴파워프라즈마,(26%)
444,휴비스,(315%)
445,파크랜드,(27%)
446,심텍홀딩스,(16%)
447,로체시스템즈,(16%)
448,인탑스,(15%)
449,안다르,(54%)
450,금호에이치티,(9%)
451,삼성다이나에이치백,(28%)
452,제이엔지코리아,(36%)
453,코스알엑스,(24%)
454,이라이콤,(25%)
455,한화토탈에너지스,(7%)
456,다다씨앤씨,(25%)
457,로얄앤컴퍼니,(42%)
458,티디케이한국,(19%)
459,비비안,(19%)
460,볼보그룹코리아 건설기계부문,(8%)
461,에스피반도체통신,(56%)
462,웰크론,(24%)
463,진주햄,(18%)
464,삼화양행,(15%)
465,원익머트리얼즈,(9%)
466,파인디지털,(34%)
467,금호석유화학,(5%)
468,남양인터내셔날,(25%)
469,동원산업,(29%)
470,린컴퍼니,(23%)
471,희성전자,(12%)
472,동광인터내셔날,(38%)
473,케이브랜즈,(83%)
474,큐엠씨,(44%)
475,대구경북첨단의료산업진흥재단,(34%)
476,코스온,(78%)
477,파나시아,(35%)
478,평화오일씰공업,(16%)
479,삼송,(800%)
480,메가젠임플란트,(15%)
481,대덕지디에스,(21800%)
482,코튼클럽,(27%)
483,인텍전기전자,(21%)
484,덴티스,(114%)
485,쎄크,(32%)
486,그린코스,(77%)
487,미원상사,(15%)
488,신화인터텍,(30%)
489,현담산업,(17%)
490,본느,(151%)
491,제이오텍,(15%)
492,크리스에프앤씨,(48%)
493,아이쓰리시스템,(14%)
494,유진기업,(12%)
495,씨앤씨인터내셔널,(30%)
496,신양금속공업,(32%)
497,유엘코리아,(16%)
498,티씨케이,(19%)
499,하나머티리얼즈,(22%)
500,잉크테크,(16%)
501,풀무원,(21%)
502,코리아에프티,(20%)
503,한화케미칼,(5%)
504,아로마티카,(40%)
505,지아이티,(85%)
506,뱅뱅어패럴,(32%)
507,유텔,(36%)
508,대원강업,(22%)
509,오토리브,(14%)
510,윈저글로벌,(17%)
511,두산테스나,(29%)
512,서울우유협동조합,(12%)
513,영풍,(23%)
514,디엠에스,(27%)
515,삼기,(67%)
516,이씨스,(8%)
517,신성델타테크,(26%)
518,신한다이아몬드공업,(21%)
519,일진제강,(20%)
520,에이스브이,(17%)
521,램리서치코리아,(17%)
522,알피니언메디칼시스템,(34%)
523,티유브이라인란드코리아,(16%)
524,더스킨팩토리,(42%)
525,대림비앤코,(45%)
526,대우전자부품,(22%)
527,무림페이퍼,(6%)
528,서울바이오시스,(61%)
529,위닉스,(114%)
530,영실업,(47%)
531,파주전기초자,(13%)
532,포스코에너지,(112%)
533,한서실업,(34%)
534,현대오트론,(204%)
535,경농,(17%)
536,제이앤티씨,(29%)
537,말레동현필터시스템,(13%)
538,한국옵티칼하이테크,(168%)
539,디이엔티,(32%)
540,윈팩,(63%)
541,넥스콘테크놀러지,(49%)
542,젯아이씨,(33%)
543,대승,(50%)
544,심팩,(43%)
545,고려제강,(15%)
546,듀링,(30%)
547,에스티엑스엔진,(8%)
548,에이스침대,(23%)
549,유니레버코리아,(27%)
550,한영넉스,(22%)
551,더네이쳐홀딩스,(61%)
552,풀무원녹즙,(25%)
553,화승코퍼레이션,(11%)
554,에스지씨솔루션,(18%)
555,조광페인트,(16%)
556,지에스엔텍,(86%)
557,에스티아이,(11%)
558,티피씨메카트로닉스,(24%)
559,일진다이아몬드,(16%)
560,엔피씨,(13%)
561,전기초자코리아,(116%)
562,상아프론테크,(13%)
563,시너스텍,(19%)
564,지엔코,(54%)
565,서울화장품,(25%)
566,싸이노스,(42%)
567,예림임업,(26%)
568,제닉,(100%)
569,에이원엔지니어링코리아,(38%)
570,티센크루프엘리베이터코리아,(10%)
571,솔루엠,(16%)
572,아이엠아이크리티컬엔지니어링코리아,(17%)
573,한국요꼬가와전기,(15%)
574,한국호야전자,(6%)
575,디티알,(13%)
576,제이씨코리아,(47%)
577,글로텍엔지니어링,(29%)
578,대원산업,(16%)
579,동성화인텍,(19%)
580,오뚜기라면,(111%)
581,일레븐코퍼레이션,(76%)
582,광명산업,(18%)
583,제네랄일렉트릭인터내셔날인코포레이티드,(64%)
584,태성환경연구소,(67%)
585,효성굿스프링스,(17%)
586,오에이티씨,(62%)
587,이즈미디어,(100%)
588,패커드코리아,(9%)
589,코스맥스바이오,(27%)
590,케이에이치바텍,(12%)
591,에이엠텔레콤,(22%)
592,우인인더스트리즈,(27%)
593,케이투코리아,(21%)
594,테크로스,(106%)
595,한성기업,(37%)
596,에몬스가구,(34%)
597,천호엔케어,(17%)
598,두원공조,(11%)
599,삼부정밀화학,(56%)
600,서진캠,(7%)
601,아사아블로이코리아아이레보,(48%)
602,케이지동부제철,(9%)
603,현대파워텍,(2%)
604,평화산업,(69%)
605,한국브렌슨,(38%)
606,독립문,(38%)
607,동일라코스테,(12%)
608,씨엔에프,(30%)
609,미르기술,(36%)
610,엔케이,(41%)
611,태림포장,(23%)
612,한국훼스토,(17%)
613,해브앤비,(37%)
614,옵트론텍,(67%)
615,남양넥스모,(9%)
616,양지사,(34%)
617,일화,(75%)
618,삼보모터스,(11%)
619,에스에스엘엠,(24%)
620,영풍정밀,(15%)
621,현대아이에이치엘,(13%)
622,삼전순약공업,(27%)
623,새솔다이아몬드공업,(43%)
624,아미코젠,(24%)
625,엘에스엠앤엠,(7%)
626,두올,(22%)
627,삼광,(33%)
628,상보,(17%)
629,씨엠에이글로벌,(42%)
630,아이디룩,(25%)
631,볼빅,(65%)
632,삼익티에이치케이,(11%)
633,에스엔유프리시젼,(21%)
634,와이엠티,(20%)
635,이엘케이,(67%)
636,인텔리안테크놀로지스,(20%)
637,케이엠,(122%)
638,신도산업,(51%)
639,엘이디라이텍,(86%)
640,고운세상코스메틱,(29%)
641,드림텍,(108%)
642,디에이치오토웨어,(34%)
643,베네통코리아,(33%)
644,브이티코스메틱,(148%)
645,이펙스,(53%)
646,한국인삼공사,(19%)
647,영원아웃도어,(12%)
648,윌로펌프,(8%)
649,디젠,(21%)
650,원봉,(22%)
651,창성,(38%)
652,태웅,(100%)
653,조광아이엘아이,(44%)
654,화천기계,(21%)
655,미팩토리,(45%)
656,비케이브,(77%)
657,일진베어링,(7%)
658,최신물산,(19%)
659,블리스팩,(127%)
660,슈페리어,(52%)
