,cmp,0,1,2,3,4,5,6,7,8,9,10
32,현대오토에버(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022063562646508217,0.9773769974708557,0.0,0.0
33,(주)케이티디에스,0.80512934923172,0.023979907855391502,0.0,0.0,0.0,0.0,0.0,0.0,0.14658640325069427,0.02356409840285778,0.0
34,(주)코리아센터,0.0,0.0,0.0,0.014588914811611176,0.0,0.21040263772010803,0.16785813868045807,0.6058642864227295,0.0,0.0,0.0
35,콘센트릭스서비스코리아(유),0.0,0.010489528067409992,0.0,0.13267801702022552,0.0,0.14542602002620697,0.337771475315094,0.0,0.0,0.36070895195007324,0.012535398826003075
36,(주)이글루코퍼레이션,0.0,0.03474491089582443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642713665962219,0.0
37,(주)신한디에스,0.9988689422607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,라인플러스(주),0.0,0.0,0.0,0.0,0.0,0.9242099523544312,0.0,0.0,0.0,0.06779343634843826,0.0
39,한전케이디엔(주),0.15073303878307343,0.11170897632837296,0.0,0.0,0.7268472909927368,0.0,0.0,0.0,0.0,0.0,0.0
40,(주)커리어넷,0.0,0.0,0.0,0.0,0.2595912218093872,0.0,0.1438402384519577,0.0,0.0,0.20414260029792786,0.39049452543258667
41,(주)다우기술,0.11510808765888214,0.0,0.0,0.0,0.0,0.013706584461033344,0.0,0.08686302602291107,0.0,0.7825087308883667,0.0
42,(주)마이다스아이티,0.0,0.0,0.0,0.0,0.0,0.058061398565769196,0.0,0.0,0.0,0.939135730266571,0.0
43,에스케이(주),0.4226166307926178,0.0,0.0,0.0,0.0,0.010104279033839703,0.0,0.0,0.186015322804451,0.3796272873878479,0.0
44,(주)스펙업애드,0.0,0.0,0.0,0.0,0.0,0.0,0.995384156703949,0.0,0.0,0.0,0.0
45,잡코리아 유한책임회사,0.0,0.0,0.0,0.09190987050533295,0.0,0.47366178035736084,0.0,0.4266715943813324,0.0,0.0,0.0
46,넷마블(주),0.0,0.08767321705818176,0.0,0.0,0.0,0.33278942108154297,0.0,0.21334917843341827,0.11787612736225128,0.0,0.24635140597820282
47,넥슨네트웍스(주),0.07054619491100311,0.030916398391127586,0.0,0.0,0.0,0.026233689859509468,0.0,0.6645094752311707,0.0,0.20623959600925446,0.0
48,팅크웨어(주),0.0,0.0,0.0,0.47751927375793457,0.0,0.11324163526296616,0.0,0.19201694428920746,0.0,0.21586193144321442,0.0
