,cmp,0,1,2,3,4,5,6,7,8
69,존슨콘트롤즈인터내셔널코리아(주),0.0,0.0,0.2064954936504364,0.1266021877527237,0.3519873321056366,0.0,0.0,0.0,0.309670090675354
70,제일건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9956395626068115,0.0,0.0
71,(주)서영엔지니어링,0.0,0.0,0.0,0.0,0.0,0.0,0.298311710357666,0.0,0.6941325664520264
72,(주)정림건축종합건축사사무소,0.0,0.9929967522621155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,디엘건설(주),0.0,0.0,0.42201948165893555,0.0,0.0,0.0,0.0,0.0,0.571753978729248
74,듀어코리아(주),0.9861044883728027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,(주)금성백조주택,0.0,0.0,0.0,0.0,0.0,0.9818483591079712,0.0,0.0,0.0
76,(주)대혜건축,0.9920598268508911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,(주)제일엔지니어링종합건축사사무소,0.0,0.0,0.0,0.0,0.0,0.0,0.7519034743309021,0.0,0.23894022405147552
78,(주)포스코플랜텍,0.0,0.0,0.26779529452323914,0.0,0.0,0.0,0.7253166437149048,0.0,0.0
79,한방유비스(주),0.0,0.0,0.0,0.9941861629486084,0.0,0.0,0.0,0.0,0.0
80,(주)은민에스엔디,0.0,0.0,0.0,0.0,0.9945765733718872,0.0,0.0,0.0,0.0
81,경호엔지니어링종합건축사사무소(주),0.0,0.0,0.0,0.0,0.0,0.9940309524536133,0.0,0.0,0.0
82,대우조선해양건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938652515411377
83,(주)한라,0.0,0.0,0.0,0.0,0.0,0.0,0.23170101642608643,0.7597461342811584,0.0
84,(주)계선,0.0,0.0,0.0,0.0,0.5216576457023621,0.0,0.0,0.0,0.4683639705181122
85,두양건축(주),0.0,0.0,0.0,0.0,0.9922658801078796,0.0,0.0,0.0,0.0
86,두원이에프씨(주),0.0,0.0,0.9548332691192627,0.0,0.02824871614575386,0.0,0.0,0.0,0.0
