,cmp,0,1,2,3,4,5,6,7,8,9
93,(주)엠비씨플러스,0.3313941955566406,0.0,0.0,0.0,0.0,0.0,0.0,0.6638978123664856,0.0,0.0
94,(주)디엠씨미디어,0.0,0.0,0.0,0.0,0.23579351603984833,0.0,0.21787577867507935,0.5441353917121887,0.0,0.0
95,(주)자이언트스텝,0.0,0.0,0.0,0.2807771563529968,0.0,0.0,0.0,0.70535808801651,0.0117616793140769,0.0
96,(주)제이와이피엔터테인먼트,0.0,0.0,0.0,0.9968071579933167,0.0,0.0,0.0,0.0,0.0,0.0
97,(주)해법에듀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392004251480103,0.4538402557373047,0.0
98,(주)북이십일,0.0,0.0,0.0,0.0,0.1989930421113968,0.0,0.0,0.7955623865127563,0.0,0.0
99,에스비에스콘텐츠허브(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9785647392272949,0.0,0.0,0.0
100,(주)성원애드피아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982064366340637,0.0,0.0
101,한국경제티브이(주),0.9963400363922119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,(주)동아일보사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989151656627655,0.0
103,(주)엠디마케팅,0.0,0.0,0.0,0.0,0.057567328214645386,0.0,0.0,0.9379364252090454,0.0,0.0
104,(주)이든앤앨리스마케팅,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7962180972099304,0.20196294784545898,0.0
105,(재)한국우편사업진흥원,0.0,0.0,0.0,0.0,0.0,0.0,0.6146135926246643,0.0,0.3805939257144928,0.0
106,씨엠비대전방송(주),0.0,0.7451363205909729,0.0,0.0,0.0,0.0,0.0,0.018793078139424324,0.23309676349163055,0.0
107,(주)에스에이엠지엔터테인먼트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963099360466003,0.0,0.0
108,(주)그룹아이디디,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9630528688430786,0.03284289315342903,0.0
109,(주)시너지힐앤놀튼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967189431190491,0.0,0.0
110,(주)투바앤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9924829602241516,0.0,0.0
111,(주)카카오엠,0.0,0.0,0.0,0.0,0.9437286257743835,0.0,0.0,0.0,0.0,0.0
112,(주)금솔커뮤니케이션,0.0,0.0,0.0,0.0,0.3804277777671814,0.0,0.0,0.1764623522758484,0.44155359268188477,0.0
113,(주)상록에스,0.43964871764183044,0.0,0.0,0.0,0.5548316836357117,0.0,0.0,0.0,0.0,0.0
114,에델만코리아(주),0.0,0.0,0.0,0.17120873928070068,0.0,0.0,0.0,0.8260025978088379,0.0,0.0
115,서울비젼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9526117444038391,0.0,0.0
116,(주)한국경제신문,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991889476776123
117,(주)서울문화사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9928541779518127,0.0
118,(주)아인스미디어,0.0,0.0,0.0,0.0,0.9966280460357666,0.0,0.0,0.0,0.0,0.0
119,티비더블유에이코리아(주),0.0,0.0,0.0,0.0,0.5678429007530212,0.0,0.2314022034406662,0.18054211139678955,0.01670246012508869,0.0
120,매일방송(주),0.13428835570812225,0.0,0.0,0.0,0.0,0.0,0.0,0.7803273797035217,0.08196814358234406,0.0
121,(주)레페리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982240796089172,0.0,0.0
122,(사)한국산업기술진흥협회,0.9623888731002808,0.0,0.0,0.0,0.03604188561439514,0.0,0.0,0.0,0.0,0.0
123,(주)동아사이언스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9459676146507263,0.05197484418749809,0.0
124,이노브(주),0.0,0.0,0.0,0.9961022734642029,0.0,0.0,0.0,0.0,0.0,0.0
125,(재)세종문화회관,0.2628481686115265,0.0,0.0,0.0,0.0,0.0,0.0,0.15302202105522156,0.5786587595939636,0.0
126,승일미디어그룹(주),0.0,0.9823736548423767,0.0,0.015019536018371582,0.0,0.0,0.0,0.0,0.0,0.0
