,cmp,0,1,2,3,4
80,(주)카카오페이,0.24791701138019562,0.0,0.7504066824913025,0.0,0.0
81,경남은행(주),0.0,0.0,0.0,0.0,0.9726409316062927
82,인카금융서비스(주),0.7302337288856506,0.2659083902835846,0.0,0.0,0.0
83,수산업협동조합중앙회,0.023613139986991882,0.0,0.9733371734619141,0.0,0.0
84,(주)에즈금융서비스,0.7305512428283691,0.26645201444625854,0.0,0.0,0.0
85,부산은행(주),0.0,0.0,0.34395408630371094,0.0,0.6446499824523926
86,피플라이프(주),0.08865093439817429,0.9090508818626404,0.0,0.0,0.0
87,광주은행(주),0.0,0.0,0.0,0.0,0.9934781193733215
88,웰컴크레디라인대부(주),0.015694769099354744,0.015792325139045715,0.9368709325790405,0.015660839155316353,0.015981171280145645
89,고려신용정보(주),0.386850506067276,0.2922218143939972,0.0,0.078481525182724,0.2403249740600586
90,(주)한국투자저축은행,0.0,0.5848755240440369,0.15223820507526398,0.26053643226623535,0.0
91,엔에이치농협캐피탈(주),0.0,0.11342506855726242,0.8839519619941711,0.0,0.0
92,롯데캐피탈(주),0.0,0.2754952907562256,0.0,0.6867315769195557,0.03330012410879135
93,한국무역보험공사,0.0,0.7469553351402283,0.0,0.0,0.24553661048412323
94,(주)우리카드,0.0,0.0,0.9930388927459717,0.0,0.0
95,신용협동조합중앙회,0.0,0.0,0.44444605708122253,0.0,0.5518916845321655
96,신한생명보험(주),0.0,0.0,0.988113284111023,0.0,0.0
97,제이비우리캐피탈(주),0.21749022603034973,0.7771613597869873,0.0,0.0,0.0
98,케이디비생명보험(주),0.3422306776046753,0.0,0.6514175534248352,0.0,0.0
99,동양생명보험(주),0.0,0.2909533977508545,0.11944110691547394,0.5836489200592041,0.0
100,유진투자증권(주),0.4012213349342346,0.0,0.34977301955223083,0.24653834104537964,0.0
101,농협생명보험(주),0.9951337575912476,0.0,0.0,0.0,0.0
102,(주)에이플러스에셋어드바이저,0.0,0.0,0.9240452647209167,0.0,0.0717591717839241
