,company_name,adv_topic_0,adv_topic_1,adv_topic_2,adv_topic_3,adv_topic_4,adv_topic_5,dadv_topic_0,dadv_topic_1,dadv_topic_2,dadv_topic_3,dadv_topic_4,dadv_topic_5,dadv_topic_6,average_salary,total_sale,turn_over_rate
23,한국자산관리공사,0.95650452375412,0.0,0.0,0.0413283742964267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978384971618652,0.0,8352,6387.3,0.14
24,비씨카드,0.3350052833557129,0.0,0.2135326713323593,0.0931584313511848,0.0,0.3569337725639343,0.0,0.2722253501415252,0.128691554069519,0.0,0.5969886779785156,0.0,0.0,10852,3500.0,0.11
25,키움증권,0.1843374669551849,0.0,0.0157410111278295,0.2088292688131332,0.3427544236183166,0.2478547990322113,0.0,0.0716923102736473,0.3317151665687561,0.024690244346857,0.010573654435575,0.351369172334671,0.2095914632081985,13033,2600.0,0.17
26,서울보증보험,0.6483767628669739,0.0296182781457901,0.1506101042032241,0.0685895830392837,0.1021376103162765,0.0,0.0,0.1915355175733566,0.0,0.0,0.2113005369901657,0.5348442196846008,0.0606499016284942,6082,2600.0,0.23
27,삼성증권,0.3147406280040741,0.0,0.020825445652008,0.6617899537086487,0.0,0.0,0.0,0.4010518789291382,0.025270327925682,0.0,0.570608913898468,0.0,0.0,13159,6500.0,0.13
28,농업협동조합중앙회,0.816322386264801,0.0,0.1302345246076584,0.0,0.0428806543350219,0.0,0.0,0.4213502705097198,0.0438512973487377,0.0,0.0198445376008749,0.5138959884643555,0.0,6082,5700.0,0.17
29,삼성카드고객서비스,0.0497800894081592,0.0,0.3060046732425689,0.0,0.6394023299217224,0.0,0.0,0.0681493431329727,0.2539661228656769,0.0,0.0,0.5111364126205444,0.1644334197044372,5553,1079.8,0.2
30,미래에셋대우,0.3194084167480469,0.0,0.0,0.6623991131782532,0.0,0.0,0.0,0.6963596343994141,0.1272621303796768,0.0,0.0,0.0,0.1631075292825698,14057,12800.0,0.14
31,한국주택금융공사,0.8920203447341919,0.0,0.0,0.0,0.020201938226819,0.0843976289033889,0.0,0.0,0.0160123463720083,0.0215588696300983,0.0,0.960684299468994,0.0,8845,3800.0,0.42
32,삼성생명서비스손해사정,0.3524329364299774,0.0,0.0442110151052475,0.2151688188314438,0.3863948285579681,0.0,0.0,0.1229818239808082,0.4051834046840668,0.0,0.0,0.4634473025798797,0.0,5887,2090.2,0.14
33,현대해상화재보험,0.3351905345916748,0.0,0.6295390129089355,0.0165305659174919,0.0176172647625207,0.0,0.1189427822828292,0.0622271858155727,0.0,0.0,0.3124151825904846,0.5048326253890991,0.0,11280,16700.0,0.1
34,케이비손해사정,0.2764882743358612,0.0,0.2865180969238281,0.0,0.3069315552711487,0.1280074566602707,0.2455633580684662,0.087491437792778,0.0,0.0,0.2131995111703872,0.2833804786205292,0.1692126095294952,6082,1261.9,0.17
35,오케이저축은행,0.0,0.4894691109657287,0.185955137014389,0.086610272526741,0.1996268481016159,0.0377427078783512,0.4388517439365387,0.0,0.0,0.0,0.151997908949852,0.2347122132778167,0.1733082085847854,5817,8892.8,0.38
36,대신증권,0.3501138687133789,0.0441903658211231,0.0,0.0,0.0,0.6023483872413635,0.2047235518693924,0.2735143005847931,0.0,0.0,0.3546546697616577,0.0,0.1647679656744003,12177,2300.0,0.14
37,신한카드,0.3373767137527466,0.0,0.1800318509340286,0.0498080439865589,0.4309328198432922,0.0,0.0,0.1057280078530311,0.1100102737545967,0.0,0.0,0.4840346276760101,0.2991005778312683,12741,3700.0,0.08
38,라이나생명보험,0.2351278364658355,0.0,0.3020599782466888,0.2773996889591217,0.0,0.1838077902793884,0.0,0.1093035191297531,0.5149422883987427,0.0,0.3738969266414642,0.0,0.0,6032,2800.0,0.25
39,한국수출입은행,0.9436283707618712,0.0,0.0,0.0529908165335655,0.0,0.0,0.0,0.0,0.0,0.2555718421936035,0.0215834025293588,0.7200990915298462,0.0,9680,7300.0,0.19
40,모아저축은행,0.0471272505819797,0.7128384709358215,0.1778649240732193,0.0,0.0,0.0613201148808002,0.3488541543483734,0.0110904471948742,0.0,0.0290913544595241,0.1406970769166946,0.1573707163333892,0.3126362562179565,5163,1450.2,0.2
41,메트라이프생명보험,0.3462526500225067,0.0,0.0807394683361053,0.569094181060791,0.0,0.0,0.0,0.0,0.3636949956417084,0.0,0.3999654352664947,0.228623017668724,0.0,6032,2300.0,0.13
42,한국씨티은행,0.3589424192905426,0.0,0.052310112863779,0.5864229798316956,0.0,0.0,0.0,0.4821377098560333,0.114878349006176,0.0,0.4007686078548431,0.0,0.0,14011,3000.0,0.24
43,현대커머셜,0.2495796978473663,0.1646074503660202,0.0885731801390647,0.1348150968551635,0.0,0.3577653467655182,0.0,0.6191624402999878,0.1955783069133758,0.0,0.146134078502655,0.0,0.0365317054092884,10392,4776.7,0.22
44,현대하이라이프손해사정,0.0,0.0,0.5800200700759888,0.0,0.4133099317550659,0.0,0.2322912067174911,0.0943882092833519,0.0665783956646919,0.0,0.1658481210470199,0.4385225176811218,0.0,5601,719.0,0.17
45,롯데손해보험,0.298759788274765,0.0,0.0438231602311134,0.5455388426780701,0.0,0.1105094850063324,0.2155884653329849,0.0266702752560377,0.1078841462731361,0.0,0.6451140642166138,0.0,0.0,6571,3800.0,0.28
46,한화손해보험,0.3713187277317047,0.0,0.2952701449394226,0.2107269912958145,0.1091867759823799,0.0123895015567541,0.2278740108013153,0.0211109407246112,0.0,0.0,0.3978080153465271,0.3482879102230072,0.0,7632,8000.0,0.1
47,기술보증기금,0.8349272012710571,0.0,0.1441811174154281,0.0,0.0186865907162427,0.0,0.0,0.0,0.0,0.0,0.0637736022472381,0.9335080981254578,0.0,8979,3396.9,0.14
48,한화손해사정,0.0,0.0,0.3170094192028045,0.1055765077471733,0.5753531455993652,0.0,0.2734915614128113,0.0,0.0114083439111709,0.0,0.0,0.2302013337612152,0.4836213588714599,4987,453.3,0.23
49,악사손해보험,0.0,0.0,0.225725457072258,0.6987851858139038,0.0,0.0728537887334823,0.0,0.2540404498577118,0.4981260299682617,0.0,0.2455374151468277,0.0,0.0,5516,9294.1,0.28
50,흥국생명보험,0.2324349880218505,0.0,0.5441872477531433,0.1266826540231704,0.0941095948219299,0.0,0.2649895548820495,0.0,0.0799679383635521,0.0,0.6513757109642029,0.0,0.0,7063,4400.0,0.44
51,다스카손해사정화재해상,0.0,0.0,0.0,0.1320170611143112,0.7299215197563171,0.1363841444253921,0.0,0.0,0.0519045479595661,0.0,0.0,0.1720439195632934,0.7749924659729004,3651,365.0,0.45
52,산와대부,0.0187058076262474,0.018732339143753,0.9064896702766418,0.0187063720077276,0.0186941213905811,0.0186717435717582,0.0,0.4148803949356079,0.0,0.0,0.0,0.0,0.5402898192405701,5519,6104.1,0.8300000000000001
53,케이비국민카드,0.7150676846504211,0.0,0.2816449999809265,0.0,0.0,0.0,0.0,0.4423190653324127,0.0,0.0,0.530742883682251,0.0248504467308521,0.0,12659,3100.0,0.07
54,공무원연금공단,0.9971713423728944,0.0,0.0,0.0,0.0,0.0,0.0883821696043014,0.0,0.0,0.0471579730510711,0.0909662246704101,0.7722601294517517,0.0,7088,15000.0,0.19
55,에이원손해사정,0.0,0.0,0.0,0.2872776985168457,0.5850656032562256,0.1245386153459549,0.0113717531785368,0.0,0.0719672366976738,0.0,0.0,0.2814210057258606,0.6338733434677124,3362,410.0,0.5
56,유안타증권,0.2547351717948913,0.0,0.5401052832603455,0.0922201052308082,0.1112371385097503,0.0,0.2159019559621811,0.0455516502261161,0.0775640085339546,0.0,0.3490013480186462,0.3104042112827301,0.0,12542,2100.0,0.11
57,삼성화재애니카손해사정,0.0723403394222259,0.0,0.0,0.5229005813598633,0.4005804359912872,0.0,0.1159678101539611,0.0,0.1495353877544403,0.0,0.0,0.7300601601600647,0.0,6082,2001.3,0.11
58,로카모빌리티,0.0786977931857109,0.0,0.0,0.0,0.2356552332639694,0.6781761050224304,0.0,0.0,0.0,0.1356144100427627,0.6347478032112122,0.0,0.2276089638471603,5188,1083.5,0.26
59,하나캐피탈,0.239727035164833,0.0311757028102874,0.3072933256626129,0.1674942523241043,0.2479586750268936,0.0,0.3321471512317657,0.275768518447876,0.0,0.0,0.2271531224250793,0.1630836874246597,0.0,7070,6957.2,0.34
60,신영증권,0.6680902242660522,0.0,0.0,0.1499514281749725,0.0,0.1782944798469543,0.0680788829922676,0.0,0.0,0.0,0.6548954844474792,0.2737447321414947,0.0,11347,1600.0,0.2
61,대구은행,0.7375396490097046,0.0,0.0,0.0,0.2518716156482696,0.0,0.0,0.0,0.2029615193605423,0.0,0.0,0.7930082678794861,0.0,9985,2600.0,0.08
62,케이비캐피탈,0.5735116004943848,0.0,0.0,0.0,0.4219019711017608,0.0,0.0,0.9584819078445436,0.0,0.0,0.0,0.0,0.0385518558323383,8719,9906.7,0.19
63,한화투자증권,0.0895018801093101,0.0,0.3585337996482849,0.4395547211170196,0.0599460825324058,0.0517462901771068,0.4524120986461639,0.0620382726192474,0.0937798768281936,0.0774841010570526,0.1890392154455185,0.1247758567333221,0.0,12426,1500.0,0.11
64,흥국화재해상보험,0.3927536308765411,0.0,0.3325845003128052,0.0,0.2702881693840027,0.0,0.0,0.0,0.0,0.0,0.773361086845398,0.2171575278043747,0.0,7970,4300.0,0.17
65,미래에셋생명보험,0.257502794265747,0.0,0.6546841263771057,0.0,0.0,0.0774906948208808,0.2953252494335174,0.0,0.0,0.0,0.5895402431488037,0.1086843758821487,0.0,9693,3400.0,0.08
66,카카오페이,0.0,0.0,0.0,0.8756124973297119,0.0,0.1226371079683303,0.0,0.0,0.5323110818862915,0.0,0.4659888744354248,0.0,0.0,7474,4034.2,0.12
67,경남은행,0.4494486153125763,0.0,0.3108477294445038,0.0,0.227665975689888,0.0,0.0,0.5862977504730225,0.0,0.0,0.0,0.3919468522071838,0.0,11098,1600.0,0.11
